candidate_id,source,years_experience,education_level,gpa,tech_assessment,behavioral_assessment,coding_challenge,interview_score,notice_period_days,offer_accepted,interviewer_notes_keywords,probation_passed,performance_rating_6mo,performance_rating_12mo,tenure_months,high_performer_flag,voluntary_attrition
232,Indeed,5,Bachelor,3.2,73,71,75,7.4,30,1,experienced_moderate plateaued_growth,1,3.2,3.3,17,0,1
233,LinkedIn,4,Master,3.7,84,82,86,8.2,30,1,business_analyst data_analyst,1,4.0,4.1,33,1,0
234,Referral,3,Bachelor,3.5,77,85,79,8.3,45,1,culture_fit_strong value_match,1,3.9,4.1,41,1,0
235,Career_Fair,1,Bachelor,2.9,63,73,65,6.8,30,1,entry_level_developing raw_potential,1,3.0,3.2,20,0,0
236,Company_Website,5,Master,3.3,79,78,81,7.8,30,1,corporate_professional reliable_worker,1,3.5,3.6,35,0,0
237,Indeed,2,Bachelor,2.7,57,60,59,5.7,30,1,poor_candidate weak_fundamentals,0,2.0,,3,0,1
238,LinkedIn,6,PhD,3.8,91,83,93,8.6,60,1,domain_expertise specialist_knowledge,1,4.5,4.6,28,1,1
239,Referral,2,Bachelor,3.5,76,84,78,8.2,30,1,positive_contributor team_player,1,3.8,4.0,40,1,0
240,Campus,0,Bachelor,3.0,66,64,68,7.0,90,1,average_student needs_help,1,2.8,3.0,26,0,0
241,Indeed,4,Bachelor,3.1,69,68,71,7.1,45,1,average_performer limited_scope,1,3.0,3.1,16,0,1
242,LinkedIn,5,Master,3.8,86,84,88,8.4,30,1,technical_leader architecture_expert,1,4.2,4.3,36,1,0
243,Referral,4,Bachelor,3.6,81,87,83,8.5,45,1,culture_champion value_driven,1,4.1,4.2,43,1,0
244,Career_Fair,2,Associate,3.0,64,76,66,7.2,30,1,practical_approach vocational,1,3.1,3.3,25,0,0
245,Company_Website,7,Master,3.4,81,80,83,8.0,30,1,corporate_steady consistent,1,3.7,3.8,38,0,0
246,Indeed,3,Bachelor,2.8,60,62,63,6.1,30,1,underperforming struggles,0,2.2,,6,0,1
247,LinkedIn,8,PhD,3.9,92,85,94,8.8,60,1,industry_thought_leader pioneer,1,4.7,4.8,29,1,1
248,Referral,1,Bachelor,3.3,72,80,74,8.0,30,1,fast_learner quick_adapter,1,3.6,3.8,34,0,0
249,Campus,0,Master,3.4,78,71,80,7.5,60,1,academic_background needs_practical,1,3.3,3.5,31,0,0
250,Indeed,6,Bachelor,3.2,74,70,76,7.5,14,1,technical_competent poor_collaboration,1,3.3,3.4,18,0,1
251,LinkedIn,4,Master,3.7,85,83,87,8.3,30,1,business_partner commercial_minded,1,4.1,4.2,37,1,0
252,Referral,3,Bachelor,3.5,78,85,80,8.4,45,1,culture_fit value_aligned,1,4.0,4.2,45,1,0
253,Career_Fair,1,Bachelor,2.8,61,71,63,6.6,30,1,entry_level_raw potential_untapped,1,2.9,3.1,21,0,0
254,Company_Website,5,Master,3.3,78,77,80,7.7,30,1,corporate_pro reliable_performer,1,3.4,3.5,36,0,0
255,Indeed,2,Bachelor,3.0,64,62,66,6.3,60,1,minimum_effort coasting,1,2.6,2.7,10,0,1
256,LinkedIn,7,PhD,3.6,88,81,90,8.4,90,0,research_focused may_not_fit,0,,,0,0,
257,Referral,2,Bachelor,3.4,75,83,77,8.2,30,1,positive_energy team_focused,1,3.7,3.9,41,1,0
258,Campus,0,Bachelor,2.9,65,63,67,6.9,90,1,average_student needs_guidance,1,2.8,3.0,27,0,0
259,Indeed,5,Bachelor,3.1,72,70,74,7.3,30,1,experienced_average plateaued,1,3.1,3.2,19,0,1
260,LinkedIn,5,Master,3.8,87,85,89,8.5,30,1,strategic_contributor business_focused,1,4.2,4.3,38,1,0
261,Referral,4,Bachelor,3.7,82,88,84,8.6,45,1,culture_advocate value_champion,1,4.2,4.3,46,1,0
262,Career_Fair,2,Associate,2.9,63,75,65,7.1,30,1,practical_skills vocational_background,1,3.0,3.2,26,0,0
263,Company_Website,6,Master,3.5,83,81,85,8.2,30,1,corporate_expert process_specialist,1,3.9,4.0,40,1,0
264,Indeed,3,Bachelor,2.7,59,61,62,5.9,30,1,weak_performer struggles_basic,0,2.1,,7,0,1
265,LinkedIn,8,PhD,4.0,93,86,95,8.9,60,1,industry_leader field_expert,1,4.8,4.9,30,1,1
266,Referral,1,Bachelor,3.2,71,79,73,8.1,30,1,quick_learner adaptive_thinking,1,3.5,3.7,35,0,0
267,Campus,0,Master,3.3,77,70,79,7.4,60,1,academic_background needs_real_world,1,3.2,3.4,32,0,0
268,Indeed,4,Bachelor,3.0,68,67,70,7.0,45,1,average_performer limited_growth,1,2.9,3.0,17,0,1
269,LinkedIn,4,Master,3.6,84,82,86,8.2,30,1,business_analyst data_driven,1,4.0,4.1,39,1,0
270,Referral,3,Bachelor,3.4,76,83,78,8.3,45,1,culture_fit value_match,1,3.8,4.0,42,1,0
271,Career_Fair,1,Bachelor,2.7,60,70,62,6.5,30,1,entry_level_needs_work potential_untapped,1,2.8,2.9,22,0,0
272,Company_Website,5,Master,3.2,77,76,79,7.6,30,1,corporate_professional reliable,1,3.3,3.4,37,0,0
273,Indeed,2,Bachelor,2.9,63,61,65,6.2,60,1,minimum_performer coasting_along,1,2.5,2.6,11,0,1
274,LinkedIn,6,PhD,3.7,89,82,91,8.5,60,1,research_scholar academic_expert,1,4.4,4.5,31,1,1
275,Referral,2,Bachelor,3.3,73,80,75,8.0,30,1,positive_contributor team_asset,1,3.6,3.8,43,1,0
276,Campus,0,Bachelor,2.8,64,62,66,6.8,90,1,average_student needs_help,1,2.7,2.9,28,0,0
277,Indeed,5,Bachelor,3.2,71,69,73,7.2,30,1,experienced_moderate plateaued_growth,1,3.1,3.2,20,0,1
278,LinkedIn,5,Master,3.7,85,83,87,8.3,30,1,technical_leader system_architect,1,4.1,4.2,40,1,0
279,Referral,4,Bachelor,3.6,80,87,82,8.5,45,1,culture_carrier value_advocate,1,4.1,4.2,44,1,0
280,Career_Fair,2,Associate,2.8,62,74,64,7.0,30,1,practical_skills hands_on_training,1,2.9,3.1,27,0,0
281,Company_Website,6,Master,3.4,82,80,84,8.1,30,1,corporate_veteran process_expert,1,3.8,3.9,41,1,0
282,Indeed,3,Bachelor,2.6,58,60,61,5.8,30,1,weak_performer struggles,0,2.0,,8,0,1
283,LinkedIn,7,PhD,3.8,90,83,92,8.6,90,0,academic_career research_oriented,0,,,0,0,
284,Referral,1,Bachelor,3.1,70,78,72,7.9,30,1,fast_learner adaptive,1,3.4,3.6,36,0,0
285,Campus,0,Master,3.2,76,69,78,7.3,60,1,academic_background needs_practical,1,3.1,3.3,33,0,0
286,Indeed,6,Bachelor,3.3,73,71,75,7.4,14,1,technical_competent poor_teamwork,1,3.3,3.4,22,0,1
287,LinkedIn,4,Master,3.5,83,81,85,8.1,30,1,business_analyst commercial_focus,1,3.9,4.0,42,1,0
288,Referral,3,Bachelor,3.4,75,82,77,8.2,45,1,culture_fit value_alignment,1,3.7,3.9,43,1,0
289,Career_Fair,1,Bachelor,2.6,59,69,61,6.4,30,1,entry_level_raw potential_untapped,1,2.7,2.8,23,0,0
290,Company_Website,5,Master,3.1,75,74,77,7.5,30,1,corporate_professional reliable_worker,1,3.2,3.3,38,0,0
291,Indeed,2,Bachelor,2.8,62,60,64,6.1,60,1,minimum_performer coasting,1,2.4,2.5,12,0,1
292,LinkedIn,6,PhD,3.6,87,80,89,8.3,60,1,research_expert academic_background,1,4.3,4.4,32,1,1
293,Referral,2,Bachelor,3.2,72,79,74,8.1,30,1,positive_energy team_oriented,1,3.5,3.7,44,1,0
294,Campus,0,Bachelor,2.7,63,61,65,6.7,90,1,average_student needs_guidance,1,2.6,2.8,29,0,0
295,Indeed,5,Bachelor,3.1,70,68,72,7.1,30,1,experienced_average plateaued_growth,1,3.0,3.1,21,0,1
296,LinkedIn,5,Master,3.6,84,82,86,8.2,30,1,technical_leader architecture_expert,1,4.0,4.1,43,1,0
297,Referral,4,Bachelor,3.5,79,86,81,8.4,45,1,culture_champion value_driven,1,4.0,4.1,45,1,0
298,Career_Fair,2,Associate,2.7,61,73,63,6.9,30,1,practical_skills vocational,1,2.8,3.0,28,0,0
299,Company_Website,7,Master,3.3,80,79,82,7.9,30,1,corporate_steady consistent_worker,1,3.6,3.7,42,0,0
300,Indeed,3,Bachelor,2.5,57,59,60,5.7,30,1,weak_performer struggles_basic,0,1.9,,9,0,1
301,LinkedIn,8,PhD,3.9,91,84,93,8.7,60,1,industry_thought_leader pioneer,1,4.6,4.7,33,1,1
302,Referral,1,Bachelor,3.0,69,77,71,7.8,30,1,fast_learner adaptive_thinking,1,3.3,3.5,37,0,0
303,Campus,0,Master,3.1,75,68,77,7.2,60,1,academic_background needs_real_experience,1,3.0,3.2,34,0,0
304,Indeed,6,Bachelor,3.2,72,70,74,7.3,14,1,technical_competent poor_collaboration,1,3.2,3.3,23,0,1
305,LinkedIn,4,Master,3.4,82,80,84,8.0,30,1,business_analyst data_driven,1,3.8,3.9,44,1,0
306,Referral,3,Bachelor,3.3,74,81,76,8.1,45,1,culture_fit value_match,1,3.6,3.8,44,1,0
307,Career_Fair,1,Bachelor,2.5,58,68,60,6.3,30,1,entry_level_raw potential_untapped,1,2.6,2.7,24,0,0
308,Company_Website,5,Master,3.0,74,73,76,7.4,30,1,corporate_professional reliable,1,3.1,3.2,39,0,0
309,Indeed,2,Bachelor,2.7,61,59,63,6.0,60,1,minimum_performer coasting_along,1,2.3,2.4,13,0,1
310,LinkedIn,7,PhD,3.5,86,79,88,8.2,90,0,research_focused may_not_fit,0,,,0,0,
311,Referral,2,Bachelor,3.1,71,78,73,7.9,30,1,positive_contributor team_player,1,3.4,3.6,45,1,0
312,Campus,0,Bachelor,2.6,62,60,64,6.6,90,1,average_student needs_help,1,2.5,2.7,30,0,0
313,Indeed,5,Bachelor,3.0,69,67,71,7.0,30,1,experienced_moderate plateaued,1,2.9,3.0,22,0,1
314,LinkedIn,5,Master,3.5,83,81,85,8.1,30,1,technical_leader system_designer,1,3.9,4.0,45,1,0
315,Referral,4,Bachelor,3.4,78,85,80,8.3,45,1,culture_advocate value_champion,1,3.9,4.0,46,1,0
316,Career_Fair,2,Associate,2.6,60,72,62,6.8,30,1,practical_skills hands_on,1,2.7,2.9,29,0,0
317,Company_Website,6,Master,3.2,79,78,81,7.8,30,1,corporate_veteran process_expert,1,3.5,3.6,43,1,0
318,Indeed,3,Bachelor,2.4,56,58,59,5.6,30,1,weak_performer struggles,0,1.8,,10,0,1
319,LinkedIn,8,PhD,3.8,90,83,92,8.6,60,1,industry_leader field_expert,1,4.5,4.6,34,1,1
320,Referral,1,Bachelor,2.9,68,76,70,7.7,30,1,fast_learner adaptive,1,3.2,3.4,38,0,0
321,Campus,0,Master,3.0,74,67,76,7.1,60,1,academic_background needs_practical,1,2.9,3.1,35,0,0
322,Indeed,6,Bachelor,3.1,71,69,73,7.2,14,1,technical_competent poor_teamwork,1,3.1,3.2,24,0,1
323,LinkedIn,4,Master,3.3,81,79,83,7.9,30,1,business_analyst commercial_minded,1,3.7,3.8,46,1,0
324,Referral,3,Bachelor,3.2,73,80,75,8.0,45,1,culture_fit value_aligned,1,3.5,3.7,45,1,0
325,Career_Fair,1,Bachelor,2.4,57,67,59,6.2,30,1,entry_level_raw potential_untapped,1,2.5,2.6,25,0,0
326,Company_Website,5,Master,2.9,73,72,75,7.3,30,1,corporate_professional reliable_worker,1,3.0,3.1,40,0,0
327,Indeed,2,Bachelor,2.6,60,58,62,5.9,60,1,minimum_performer coasting,1,2.2,2.3,14,0,1
328,LinkedIn,7,PhD,3.4,85,78,87,8.1,90,0,academic_career research_focused,0,,,0,0,
329,Referral,2,Bachelor,3.0,70,77,72,7.8,30,1,positive_energy team_focused,1,3.3,3.5,46,1,0
330,Campus,0,Bachelor,2.5,61,59,63,6.5,90,1,average_student needs_guidance,1,2.4,2.6,31,0,0
331,Indeed,5,Bachelor,2.9,68,66,70,6.9,30,1,experienced_average plateaued_growth,1,2.8,2.9,23,0,1
332,LinkedIn,5,Master,3.4,82,80,84,8.0,30,1,technical_leader architecture,1,3.8,3.9,47,1,0
333,Referral,4,Bachelor,3.3,77,84,79,8.2,45,1,culture_champion value_driven,1,3.8,3.9,47,1,0
334,Career_Fair,2,Associate,2.5,59,71,61,6.7,30,1,practical_skills vocational_background,1,2.6,2.8,30,0,0
335,Company_Website,6,Master,3.1,78,77,80,7.7,30,1,corporate_steady consistent_worker,1,3.4,3.5,44,1,0
336,Indeed,3,Bachelor,2.3,55,57,58,5.5,30,1,weak_performer struggles_basic,0,1.7,,11,0,1
337,LinkedIn,8,PhD,3.7,89,82,91,8.5,60,1,industry_thought_leader pioneer,1,4.4,4.5,35,1,1
338,Referral,1,Bachelor,2.8,67,75,69,7.6,30,1,fast_learner adaptive_thinking,1,3.1,3.3,39,0,0
339,Campus,0,Master,2.9,73,66,75,7.0,60,1,academic_background needs_real_experience,1,2.8,3.0,36,0,0
340,Indeed,6,Bachelor,3.0,70,68,72,7.1,14,1,technical_competent poor_collaboration,1,3.0,3.1,25,0,1
341,LinkedIn,4,Master,3.2,80,78,82,7.8,30,1,business_analyst data_driven,1,3.6,3.7,48,1,0
342,Referral,3,Bachelor,3.1,72,79,74,7.9,45,1,culture_fit value_match,1,3.4,3.6,46,1,0
343,Career_Fair,1,Bachelor,2.3,56,66,58,6.1,30,1,entry_level_raw potential_untapped,1,2.4,2.5,26,0,0
344,Company_Website,5,Master,2.8,72,71,74,7.2,30,1,corporate_professional reliable,1,2.9,3.0,41,0,0
345,Indeed,2,Bachelor,2.5,59,57,61,5.8,60,1,minimum_performer coasting_along,1,2.1,2.2,15,0,1
346,LinkedIn,7,PhD,3.3,84,77,86,8.0,90,0,research_focused may_not_fit,0,,,0,0,
347,Referral,2,Bachelor,2.9,69,76,71,7.7,30,1,positive_contributor team_player,1,3.2,3.4,47,1,0
348,Campus,0,Bachelor,2.4,60,58,62,6.4,90,1,average_student needs_help,1,2.3,2.5,32,0,0
349,Indeed,5,Bachelor,2.8,67,65,69,6.8,30,1,experienced_moderate plateaued,1,2.7,2.8,24,0,1
350,LinkedIn,5,Master,3.3,81,79,83,7.9,30,1,technical_leader system_designer,1,3.7,3.8,49,1,0
351,Referral,4,Bachelor,3.2,76,83,78,8.1,45,1,culture_advocate value_champion,1,3.7,3.8,48,1,0
352,Career_Fair,2,Associate,2.4,58,70,60,6.6,30,1,practical_skills hands_on,1,2.5,2.7,31,0,0
353,Company_Website,6,Master,3.0,77,76,79,7.6,30,1,corporate_veteran process_expert,1,3.3,3.4,45,1,0
354,Indeed,3,Bachelor,2.2,54,56,57,5.4,30,1,weak_performer struggles,0,1.6,,12,0,1
355,LinkedIn,8,PhD,3.6,88,81,90,8.4,60,1,industry_leader field_expert,1,4.3,4.4,36,1,1
356,Referral,1,Bachelor,2.7,66,74,68,7.5,30,1,fast_learner adaptive,1,3.0,3.2,40,0,0
357,Campus,0,Master,2.8,72,65,74,6.9,60,1,academic_background needs_practical,1,2.7,2.9,37,0,0
358,Indeed,6,Bachelor,2.9,69,67,71,7.0,14,1,technical_competent poor_teamwork,1,2.9,3.0,26,0,1
359,LinkedIn,4,Master,3.1,79,77,81,7.7,30,1,business_analyst commercial_focus,1,3.5,3.6,50,1,0
360,Referral,3,Bachelor,3.0,71,78,73,7.8,45,1,culture_fit value_aligned,1,3.3,3.5,47,1,0
361,Career_Fair,1,Bachelor,2.2,55,65,57,6.0,30,1,entry_level_raw potential_untapped,1,2.3,2.4,27,0,0
362,Company_Website,5,Master,2.7,71,70,73,7.1,30,1,corporate_professional reliable_worker,1,2.8,2.9,42,0,0
363,Indeed,2,Bachelor,2.4,58,56,60,5.7,60,1,minimum_performer coasting,1,2.0,2.1,16,0,1
364,LinkedIn,7,PhD,3.2,83,76,85,7.9,90,0,academic_career research_focused,0,,,0,0,
365,Referral,2,Bachelor,2.8,68,75,70,7.6,30,1,positive_energy team_focused,1,3.1,3.3,48,1,0
366,Campus,0,Bachelor,2.3,59,57,61,6.3,90,1,average_student needs_guidance,1,2.2,2.4,33,0,0
367,Indeed,5,Bachelor,2.7,66,64,68,6.7,30,1,experienced_average plateaued_growth,1,2.6,2.7,25,0,1
368,LinkedIn,5,Master,3.2,80,78,82,7.8,30,1,technical_leader architecture_expert,1,3.6,3.7,51,1,0
369,Referral,4,Bachelor,3.1,75,82,77,8.0,45,1,culture_champion value_driven,1,3.6,3.7,49,1,0
370,Career_Fair,2,Associate,2.3,57,69,59,6.5,30,1,practical_skills vocational,1,2.4,2.6,32,0,0
371,Company_Website,6,Master,2.9,76,75,78,7.5,30,1,corporate_steady consistent_worker,1,3.2,3.3,46,1,0
372,Indeed,3,Bachelor,2.1,53,55,56,5.3,30,1,weak_performer struggles_basic,0,1.5,,13,0,1
373,LinkedIn,8,PhD,3.5,87,80,89,8.3,60,1,industry_thought_leader pioneer,1,4.2,4.3,37,1,1
374,Referral,1,Bachelor,2.6,65,73,67,7.4,30,1,fast_learner adaptive_thinking,1,2.9,3.1,41,0,0
375,Campus,0,Master,2.7,71,64,73,6.8,60,1,academic_background needs_real_experience,1,2.6,2.8,38,0,0
376,Indeed,6,Bachelor,2.8,68,66,70,6.9,14,1,technical_competent poor_collaboration,1,2.8,2.9,27,0,1
377,LinkedIn,4,Master,3.0,78,76,80,7.6,30,1,business_analyst data_driven,1,3.4,3.5,52,1,0
378,Referral,3,Bachelor,2.9,70,77,72,7.7,45,1,culture_fit value_match,1,3.2,3.4,48,1,0
379,Career_Fair,1,Bachelor,2.1,54,64,56,5.9,30,1,entry_level_raw potential_untapped,1,2.2,2.3,28,0,0
380,Company_Website,5,Master,2.6,70,69,72,7.0,30,1,corporate_professional reliable,1,2.7,2.8,43,0,0
381,Indeed,2,Bachelor,2.3,57,55,59,5.6,60,1,minimum_performer coasting_along,1,1.9,2.0,17,0,1
382,LinkedIn,7,PhD,3.1,82,75,84,7.8,90,0,research_focused may_not_fit,0,,,0,0,
383,Referral,2,Bachelor,2.7,67,74,69,7.5,30,1,positive_contributor team_player,1,3.0,3.2,49,1,0
384,Campus,0,Bachelor,2.2,58,56,60,6.2,90,1,average_student needs_help,1,2.1,2.3,34,0,0
385,Indeed,5,Bachelor,2.6,65,63,67,6.6,30,1,experienced_moderate plateaued,1,2.5,2.6,26,0,1
386,LinkedIn,5,Master,3.1,79,77,81,7.7,30,1,technical_leader system_designer,1,3.5,3.6,53,1,0
387,Referral,4,Bachelor,3.0,74,81,76,7.9,45,1,culture_advocate value_champion,1,3.5,3.6,50,1,0
388,Career_Fair,2,Associate,2.2,56,68,58,6.4,30,1,practical_skills hands_on,1,2.3,2.5,33,0,0
389,Company_Website,6,Master,2.8,75,74,77,7.4,30,1,corporate_veteran process_expert,1,3.1,3.2,47,1,0
390,Indeed,3,Bachelor,2.0,52,54,55,5.2,30,1,weak_performer struggles,0,1.4,,14,0,1
391,LinkedIn,8,PhD,3.4,86,79,88,8.2,60,1,industry_leader field_expert,1,4.1,4.2,38,1,1
392,Referral,1,Bachelor,2.5,64,72,66,7.3,30,1,fast_learner adaptive,1,2.8,3.0,42,0,0
393,Campus,0,Master,2.6,70,63,72,6.7,60,1,academic_background needs_practical,1,2.5,2.7,39,0,0
394,Indeed,6,Bachelor,2.7,67,65,69,6.8,14,1,technical_competent poor_teamwork,1,2.7,2.8,28,0,1
395,LinkedIn,4,Master,2.9,77,75,79,7.5,30,1,business_analyst commercial_minded,1,3.3,3.4,54,1,0
396,Referral,3,Bachelor,2.8,69,76,71,7.6,45,1,culture_fit value_aligned,1,3.1,3.3,49,1,0
397,Career_Fair,1,Bachelor,2.0,53,63,55,5.8,30,1,entry_level_raw potential_untapped,1,2.1,2.2,29,0,0
398,Company_Website,5,Master,2.5,69,68,71,6.9,30,1,corporate_professional reliable_worker,1,2.6,2.7,44,0,0
399,Indeed,2,Bachelor,2.2,56,54,58,5.5,60,1,minimum_performer coasting,1,1.8,1.9,18,0,1
400,LinkedIn,7,PhD,3.0,81,74,83,7.7,90,0,academic_career research_focused,0,,,0,0,
401,Referral,2,Bachelor,2.6,66,73,68,7.4,30,1,positive_energy team_focused,1,2.9,3.1,50,1,0
402,Campus,0,Bachelor,2.1,57,55,59,6.1,90,1,average_student needs_guidance,1,2.0,2.2,35,0,0
403,Indeed,5,Bachelor,2.5,64,62,66,6.5,30,1,experienced_average plateaued_growth,1,2.4,2.5,27,0,1
404,LinkedIn,5,Master,3.0,78,76,80,7.6,30,1,technical_leader architecture,1,3.4,3.5,55,1,0
405,Referral,4,Bachelor,2.9,73,80,75,7.8,45,1,culture_champion value_driven,1,3.4,3.5,51,1,0
406,Career_Fair,2,Associate,2.1,55,67,57,6.3,30,1,practical_skills vocational_background,1,2.2,2.4,34,0,0
407,Company_Website,6,Master,2.7,74,73,76,7.3,30,1,corporate_steady consistent_worker,1,3.0,3.1,48,1,0
408,Indeed,3,Bachelor,1.9,51,53,54,5.1,30,1,weak_performer struggles_basic,0,1.3,,15,0,1
409,LinkedIn,8,PhD,3.3,85,78,87,8.1,60,1,industry_thought_leader pioneer,1,4.0,4.1,39,1,1
410,Referral,1,Bachelor,2.4,63,71,65,7.2,30,1,fast_learner adaptive_thinking,1,2.7,2.9,43,0,0
411,Campus,0,Master,2.5,69,62,71,6.6,60,1,academic_background needs_real_experience,1,2.4,2.6,40,0,0
412,Indeed,6,Bachelor,2.6,66,64,68,6.7,14,1,technical_competent poor_collaboration,1,2.6,2.7,29,0,1
413,LinkedIn,4,Master,2.8,76,74,78,7.4,30,1,business_analyst data_driven,1,3.2,3.3,56,1,0
414,Referral,3,Bachelor,2.7,68,75,70,7.5,45,1,culture_fit value_match,1,3.0,3.2,50,1,0
415,Career_Fair,1,Bachelor,1.9,52,62,54,5.7,30,1,entry_level_raw potential_untapped,1,2.0,2.1,30,0,0
416,Company_Website,5,Master,2.4,68,67,70,6.8,30,1,corporate_professional reliable,1,2.5,2.6,45,0,0
417,Indeed,2,Bachelor,2.1,55,53,57,5.4,60,1,minimum_performer coasting_along,1,1.7,1.8,19,0,1
418,LinkedIn,7,PhD,2.9,80,73,82,7.6,90,0,research_focused may_not_fit,0,,,0,0,
419,Referral,2,Bachelor,2.5,65,72,67,7.3,30,1,positive_contributor team_player,1,2.8,3.0,51,1,0
420,Campus,0,Bachelor,2.0,56,54,58,6.0,90,1,average_student needs_help,1,1.9,2.1,36,0,0
421,Indeed,5,Bachelor,2.4,63,61,65,6.4,30,1,experienced_moderate plateaued,1,2.3,2.4,28,0,1
422,LinkedIn,5,Master,2.9,77,75,79,7.5,30,1,technical_leader system_designer,1,3.3,3.4,57,1,0
423,Referral,4,Bachelor,2.8,72,79,74,7.7,45,1,culture_advocate value_champion,1,3.3,3.4,52,1,0
424,Career_Fair,2,Associate,2.0,54,66,56,6.2,30,1,practical_skills hands_on,1,2.1,2.3,35,0,0
425,Company_Website,6,Master,2.6,73,72,75,7.2,30,1,corporate_veteran process_expert,1,2.9,3.0,49,1,0
426,Indeed,3,Bachelor,1.8,50,52,53,5.0,30,1,weak_performer struggles,0,1.2,,16,0,1
427,LinkedIn,8,PhD,3.2,84,77,86,8.0,60,1,industry_leader field_expert,1,3.9,4.0,40,1,1
428,Referral,1,Bachelor,2.3,62,70,64,7.1,30,1,fast_learner adaptive,1,2.6,2.8,44,0,0
429,Campus,0,Master,2.4,68,61,70,6.5,60,1,academic_background needs_practical,1,2.3,2.5,41,0,0
430,Indeed,6,Bachelor,2.5,65,63,67,6.6,14,1,technical_competent poor_teamwork,1,2.5,2.6,30,0,1
431,LinkedIn,4,Master,2.7,75,73,77,7.3,30,1,business_analyst commercial_focus,1,3.1,3.2,58,1,0
432,Referral,3,Bachelor,2.6,67,74,69,7.4,45,1,culture_fit value_aligned,1,2.9,3.1,51,1,0
433,Career_Fair,1,Bachelor,1.8,51,61,53,5.6,30,1,entry_level_raw potential_untapped,1,1.9,2.0,31,0,0
434,Company_Website,5,Master,2.3,67,66,69,6.7,30,1,corporate_professional reliable_worker,1,2.4,2.5,46,0,0
435,Indeed,2,Bachelor,2.0,54,52,56,5.3,60,1,minimum_performer coasting,1,1.6,1.7,20,0,1
436,LinkedIn,7,PhD,2.8,79,72,81,7.5,90,0,academic_career research_focused,0,,,0,0,
437,Referral,2,Bachelor,2.4,64,71,66,7.2,30,1,positive_energy team_focused,1,2.7,2.9,52,1,0
438,Campus,0,Bachelor,1.9,55,53,57,5.9,90,1,average_student needs_guidance,1,1.8,2.0,37,0,0
439,Indeed,5,Bachelor,2.3,62,60,64,6.3,30,1,experienced_average plateaued_growth,1,2.2,2.3,29,0,1
440,LinkedIn,5,Master,2.8,76,74,78,7.4,30,1,technical_leader architecture_expert,1,3.2,3.3,59,1,0
441,Referral,4,Bachelor,2.7,71,78,73,7.6,45,1,culture_champion value_driven,1,3.2,3.3,53,1,0
442,Career_Fair,2,Associate,1.9,53,65,55,6.1,30,1,practical_skills vocational,1,2.0,2.2,36,0,0
443,Company_Website,6,Master,2.5,72,71,74,7.1,30,1,corporate_steady consistent_worker,1,2.8,2.9,50,1,0
444,Indeed,3,Bachelor,1.7,49,51,52,4.9,30,1,weak_performer struggles_basic,0,1.1,,17,0,1
445,LinkedIn,8,PhD,3.1,83,76,85,7.9,60,1,industry_thought_leader pioneer,1,3.8,3.9,41,1,1
446,Referral,1,Bachelor,2.2,61,69,63,7.0,30,1,fast_learner adaptive_thinking,1,2.5,2.7,45,0,0
447,Campus,0,Master,2.3,67,60,69,6.4,60,1,academic_background needs_real_experience,1,2.2,2.4,42,0,0
448,Indeed,6,Bachelor,2.4,64,62,66,6.5,14,1,technical_competent poor_collaboration,1,2.4,2.5,31,0,1
449,LinkedIn,4,Master,2.6,74,72,76,7.2,30,1,business_analyst data_driven,1,3.0,3.1,60,1,0
450,Referral,3,Bachelor,2.5,66,73,68,7.3,45,1,culture_fit value_match,1,2.8,3.0,52,1,0
451,Career_Fair,1,Bachelor,1.7,50,60,52,5.5,30,1,entry_level_raw potential_untapped,1,1.8,1.9,32,0,0
452,Company_Website,5,Master,2.2,66,65,68,6.6,30,1,corporate_professional reliable,1,2.3,2.4,47,0,0
453,Indeed,2,Bachelor,1.9,53,51,55,5.2,60,1,minimum_performer coasting_along,1,1.5,1.6,21,0,1
454,LinkedIn,7,PhD,2.7,78,71,80,7.4,90,0,research_focused may_not_fit,0,,,0,0,
455,Referral,2,Bachelor,2.3,63,70,65,7.1,30,1,positive_contributor team_player,1,2.6,2.8,53,1,0
456,Campus,0,Bachelor,1.8,54,52,56,5.8,90,1,average_student needs_help,1,1.7,1.9,38,0,0
457,Indeed,5,Bachelor,2.2,61,59,63,6.2,30,1,experienced_moderate plateaued,1,2.1,2.2,30,0,1
458,LinkedIn,5,Master,2.7,75,73,77,7.3,30,1,technical_leader system_designer,1,3.1,3.2,61,1,0
459,Referral,4,Bachelor,2.6,70,77,72,7.5,45,1,culture_advocate value_champion,1,3.1,3.2,54,1,0
460,Career_Fair,2,Associate,1.8,52,64,54,6.0,30,1,practical_skills hands_on,1,1.9,2.1,37,0,0
461,Company_Website,6,Master,2.4,71,70,73,7.0,30,1,corporate_veteran process_expert,1,2.7,2.8,51,1,0
462,Indeed,3,Bachelor,1.6,48,50,51,4.8,30,1,weak_performer struggles,0,1.0,,18,0,1
463,LinkedIn,8,PhD,3.0,82,75,84,7.8,60,1,industry_leader field_expert,1,3.7,3.8,42,1,1
464,Referral,1,Bachelor,2.1,60,68,62,6.9,30,1,fast_learner adaptive,1,2.4,2.6,46,0,0
465,Campus,0,Master,2.2,66,59,68,6.3,60,1,academic_background needs_practical,1,2.1,2.3,43,0,0
466,Indeed,6,Bachelor,2.3,63,61,65,6.4,14,1,technical_competent poor_teamwork,1,2.3,2.4,32,0,1
